WorkDay,Holiday,conditions,hour,temp,feelslike,dew,humidity,cloudcover,visibility
False,False,Clear,0,4.6,4.6,1.1,78.06,3.1,32.0
False,False,Clear,1,3.8,3.8,1.1,82.54,0.0,25.8
False,False,Clear,2,3.8,3.8,1.1,82.54,0.0,28.6
False,False,Clear,3,4.0,4.0,1.1,81.4,0.0,27.0
False,False,Clear,4,3.8,3.8,1.0,81.96,0.0,23.1
False,False,Clear,5,3.6,3.6,1.0,83.11,0.0,24.7
False,False,Partially cloudy,6,3.3,3.3,0.8,83.67,44.7,25.9
False,False,Clear,7,3.3,3.3,0.8,83.67,5.6,25.1
False,False,Clear,8,2.8,2.8,0.5,84.83,16.7,22.0
False,False,Clear,9,2.8,2.8,0.8,86.67,5.6,23.0
False,False,Clear,10,3.8,3.8,1.6,85.54,5.6,23.9
False,False,Clear,11,6.3,6.3,2.5,76.66,5.6,25.5
False,False,Clear,12,7.1,7.1,2.6,73.08,16.7,28.6
False,False,Clear,13,7.5,4.9,2.1,68.64,16.7,23.0
False,False,Partially cloudy,14,7.7,7.7,2.0,67.67,29.9,23.9
False,False,Partially cloudy,15,7.4,7.4,2.6,72.06,35.6,28.6
False,False,Partially cloudy,16,7.3,7.3,2.3,70.6,84.4,23.9
False,False,Partially cloudy,17,6.3,6.3,2.3,75.59,54.7,18.2
False,False,Partially cloudy,18,5.2,5.2,2.3,82.1,27.1,17.9
False,False,Clear,19,4.4,4.4,2.1,85.6,13.2,14.4
False,False,Clear,20,3.1,3.1,1.6,89.88,0.0,16.4
False,False,Clear,21,3.1,3.1,2.3,94.45,0.0,13.8
False,False,Clear,22,2.6,2.6,2.1,96.49,3.1,13.8
False,False,Partially cloudy,23,2.3,2.3,2.0,97.86,59.5,13.0
True,False,Partially cloudy,0,2.1,2.1,1.6,96.48,66.4,11.0
True,False,Partially cloudy,1,2.1,2.1,1.8,97.87,69.5,11.6
True,False,Partially cloudy,2,1.6,1.6,1.3,97.87,69.5,9.6
True,False,Partially cloudy,3,2.1,2.1,2.0,99.27,69.5,9.2
True,False,Partially cloudy,4,2.6,2.6,2.5,99.27,69.5,9.8
True,False,Partially cloudy,5,3.1,3.1,3.0,99.27,69.5,10.0
True,False,Partially cloudy,6,3.3,3.3,3.1,98.58,69.5,9.9
True,False,Partially cloudy,7,3.6,3.6,3.5,99.28,65.7,11.4
True,False,Partially cloudy,8,4.0,4.0,3.8,98.58,65.7,11.4
True,False,Partially cloudy,9,4.5,4.5,4.3,98.57,65.7,14.2
True,False,Partially cloudy,10,5.3,5.3,5.0,97.9,65.7,14.3
True,False,Partially cloudy,11,6.0,6.0,5.6,97.22,62.6,14.0
True,False,Partially cloudy,12,6.9,6.9,5.6,92.02,50.2,15.6
True,False,Partially cloudy,13,7.5,6.5,5.8,88.97,62.6,13.7
True,False,Partially cloudy,14,8.6,8.6,6.1,84.33,59.5,12.5
True,False,Partially cloudy,15,9.0,9.0,5.8,80.42,62.6,13.1
True,False,Partially cloudy,16,8.6,8.6,6.1,84.33,80.9,13.5
True,False,Overcast,17,8.6,8.6,6.6,87.27,100.0,12.9
True,False,Overcast,18,8.6,8.6,6.8,88.49,93.8,11.3
True,False,Overcast,19,8.6,8.6,7.1,90.32,93.8,10.7
True,False,Overcast,20,8.8,8.8,7.6,92.19,96.9,9.2
True,False,"Rain, Overcast",21,8.8,8.8,8.0,94.71,96.2,4.8
True,False,Partially cloudy,22,9.0,9.0,7.7,90.99,69.1,4.2
True,False,Overcast,23,9.1,9.1,7.4,88.56,93.0,3.2
True,False,Overcast,0,9.1,9.1,7.4,88.55,93.0,7.1
True,False,Overcast,1,8.8,8.8,7.4,90.34,96.9,8.4
True,False,"Rain, Overcast",2,8.6,8.6,7.6,93.44,100.0,7.6
True,False,Overcast,3,8.6,8.6,7.6,93.43,96.2,9.5
True,False,Overcast,4,9.1,9.1,7.5,89.75,100.0,12.8
True,False,Overcast,5,8.8,8.8,7.4,90.34,100.0,7.6
True,False,Overcast,6,8.8,8.8,7.7,92.2,100.0,7.5
True,False,Overcast,7,9.1,9.1,8.1,93.47,100.0,7.4
True,False,Overcast,8,9.3,9.3,8.1,92.23,96.2,6.1
True,False,Overcast,9,9.1,9.1,8.3,94.74,96.9,5.4
True,False,Overcast,10,9.5,9.5,8.3,92.24,100.0,5.6
True,False,Overcast,11,9.6,9.6,8.7,93.5,100.0,5.3
True,False,Overcast,12,10.3,10.3,9.1,92.29,100.0,2.1
True,False,Overcast,13,10.3,10.3,9.4,93.55,100.0,3.0
True,False,Overcast,14,10.5,10.5,9.6,94.18,100.0,2.7
True,False,"Rain, Overcast",15,10.3,10.3,9.6,95.44,97.0,2.4
True,False,"Rain, Overcast",16,10.1,10.1,9.6,96.72,100.0,2.7
True,False,"Rain, Overcast",17,10.3,10.3,9.8,96.72,100.0,3.3
True,False,"Rain, Overcast",18,10.3,10.3,9.8,96.71,100.0,6.4
True,False,"Rain, Overcast",19,9.8,9.8,9.0,94.77,100.0,7.2
True,False,"Rain, Overcast",20,9.5,9.5,8.3,92.24,100.0,10.1
True,False,Overcast,21,9.3,9.3,7.8,90.37,96.2,8.6
True,False,Overcast,22,9.1,9.1,7.1,87.33,96.2,11.2
True,False,Partially cloudy,23,8.6,8.6,6.6,87.28,74.0,12.9
True,False,Partially cloudy,0,7.8,7.8,5.1,83.11,31.8,9.2
True,False,Partially cloudy,1,6.8,6.8,5.1,88.96,27.9,7.1
True,False,Partially cloudy,2,6.3,6.3,4.3,87.09,27.9,9.2
True,False,Partially cloudy,3,6.1,6.1,3.8,85.26,27.9,6.5
True,False,Partially cloudy,4,5.6,5.6,4.1,90.1,31.8,6.5
True,False,Partially cloudy,5,5.0,5.0,3.5,90.06,28.7,5.0
True,False,Clear,6,4.8,4.8,2.3,83.94,9.3,6.7
True,False,Clear,7,3.8,3.8,1.8,86.83,0.0,6.1
True,False,Partially cloudy,8,2.6,2.6,1.5,92.48,22.3,11.1
True,False,Partially cloudy,9,2.3,2.3,1.8,96.5,22.3,8.6
True,False,Clear,10,3.1,3.1,2.8,97.89,16.7,7.1
True,False,Clear,11,6.1,6.1,6.0,99.28,5.6,8.4
True,False,Clear,12,7.6,7.6,3.9,76.94,0.0,10.4
True,False,Clear,13,8.0,8.0,4.5,78.59,16.7,16.6
True,False,Clear,14,8.1,8.1,4.2,75.89,5.6,19.4
True,False,Clear,15,8.1,8.1,4.3,77.47,5.6,21.0
True,False,Clear,16,7.8,7.8,4.6,80.19,16.7,23.2
True,False,Clear,17,5.8,5.8,3.8,87.0,16.7,14.0
True,False,Partially cloudy,18,4.7,4.7,3.6,93.22,33.5,12.2
True,False,Partially cloudy,19,4.3,4.3,3.6,95.19,33.5,8.1
True,False,Partially cloudy,20,4.1,4.1,3.8,97.9,22.3,10.5
True,False,Partially cloudy,21,3.8,3.8,3.3,96.52,22.3,8.3
True,False,Clear,22,3.6,3.6,3.3,97.89,16.7,7.4
True,False,Clear,23,3.3,3.3,3.0,97.89,0.0,5.6
True,False,Clear,0,3.1,3.1,3.1,99.98,0.0,7.3
True,False,Clear,1,2.6,2.6,2.5,99.28,0.0,8.6
True,False,Partially cloudy,2,2.3,2.3,2.1,98.57,33.5,5.0
True,False,Partially cloudy,3,1.8,1.8,1.6,98.58,50.2,4.3
True,False,Clear,4,1.6,1.6,1.5,99.27,0.0,1.5
True,False,Clear,5,1.3,1.3,1.1,98.57,0.0,1.2
True,False,Partially cloudy,6,1.3,1.3,1.1,98.56,50.2,0.9
True,False,Partially cloudy,7,1.8,1.8,1.8,99.97,44.4,3.8
True,False,Partially cloudy,8,1.1,1.1,1.0,99.26,22.1,3.8
True,False,Partially cloudy,9,1.3,1.3,1.1,98.56,22.1,4.6
True,False,Partially cloudy,10,2.8,2.8,2.8,99.99,22.1,10.0
True,False,Clear,11,5.1,5.1,5.0,99.26,18.8,20.3
True,False,Rain,12,7.3,7.3,5.1,85.87,0.0,20.1
True,False,Clear,13,7.6,7.6,4.1,78.98,0.0,20.1
True,False,Clear,14,8.4,8.4,3.6,72.24,0.0,26.3
True,False,Clear,15,8.2,8.2,2.1,65.41,0.0,22.4
True,False,Clear,16,6.7,6.7,2.3,73.99,0.0,21.6
True,False,Clear,17,5.2,5.2,1.5,77.54,0.0,24.7
True,False,Clear,18,4.8,4.8,2.8,86.84,0.0,23.2
True,False,Clear,19,4.0,4.0,2.3,88.61,0.0,21.6
True,False,Clear,20,3.2,3.2,1.8,91.13,0.0,20.1
True,False,Clear,21,2.6,2.6,1.3,91.09,0.0,22.4
True,False,Clear,22,2.8,2.8,1.3,89.79,0.0,21.6
True,False,Clear,23,2.0,2.0,0.8,91.69,0.0,20.5
True,False,Clear,0,1.8,1.8,1.1,95.0,0.0,20.1
True,False,Clear,1,1.6,1.6,1.1,96.39,0.0,20.5
True,False,Clear,2,1.1,1.1,0.5,95.71,0.0,18.8
True,False,Clear,3,0.6,0.6,0.1,96.41,0.0,20.6
True,False,Clear,4,0.5,0.5,0.1,97.12,0.0,17.2
True,False,Clear,5,0.1,0.1,-0.2,97.82,0.0,19.3
True,False,Clear,6,0.3,0.3,0.1,98.54,0.0,22.0
True,False,Clear,7,0.1,0.1,-0.2,97.79,0.0,21.6
True,False,Clear,8,0.0,0.0,-0.2,98.49,5.6,22.4
True,False,Clear,9,0.2,0.2,0.0,99.2,5.6,24.3
True,False,Clear,10,1.9,1.9,1.8,99.92,5.6,16.2
True,False,Clear,11,5.6,5.6,4.1,90.01,5.6,21.6
True,False,Clear,12,8.8,8.8,4.6,74.95,5.6,15.0
True,False,Clear,13,8.1,8.1,3.1,70.71,5.6,22.8
True,False,Clear,14,8.9,8.9,3.1,67.44,5.6,24.3
True,False,Clear,15,8.4,8.4,3.6,72.23,5.6,19.7
True,False,Clear,16,7.2,7.2,3.3,76.75,5.6,16.3
True,False,Clear,17,5.8,5.8,3.1,82.78,0.0,17.0
True,False,Clear,18,4.8,4.8,3.0,88.1,0.0,15.8
True,False,Clear,19,4.1,4.1,2.8,91.24,5.6,12.8
True,False,Clear,20,3.8,3.8,3.0,94.47,0.0,18.3
True,False,Clear,21,3.6,3.6,2.8,94.48,0.0,14.5
True,False,Clear,22,3.6,3.6,3.1,96.52,0.0,14.2
True,False,Clear,23,3.8,3.8,3.3,96.51,5.6,8.8
False,False,Clear,0,3.5,3.5,2.8,95.16,0.0,13.6
False,False,Clear,1,2.8,2.8,2.1,95.11,5.6,16.3
False,False,Clear,2,3.6,3.6,2.8,94.47,0.0,13.2
False,False,Clear,3,2.6,2.6,2.0,95.78,0.0,15.0
False,False,Clear,4,2.5,2.5,2.1,97.17,0.0,11.3
False,False,Partially cloudy,5,2.5,2.5,2.3,98.57,27.8,1.5
False,False,Clear,6,2.3,2.3,2.3,99.99,0.0,0.3
False,False,Clear,7,2.8,2.8,2.6,98.59,0.0,0.3
False,False,Partially cloudy,8,3.6,3.6,3.6,99.99,31.0,0.3
False,False,Partially cloudy,9,3.6,3.6,3.6,99.99,31.0,0.0
False,False,Partially cloudy,10,3.8,3.8,3.6,98.61,31.0,0.6
False,False,"Rain, Partially cloudy",11,5.1,5.1,4.6,96.58,27.9,2.2
False,False,Overcast,12,5.3,5.3,4.0,91.35,93.8,2.9
False,False,Overcast,13,5.0,5.0,2.7,84.55,96.2,5.9
False,False,Overcast,14,4.8,4.8,2.2,82.72,96.2,8.8
False,False,Partially cloudy,15,5.3,5.3,2.4,81.02,83.7,10.1
False,False,Overcast,16,5.6,5.6,2.6,80.49,100.0,8.8
False,False,Overcast,17,5.6,5.6,2.8,82.22,97.0,10.4
False,False,Overcast,18,4.6,4.6,2.1,83.87,93.0,10.9
False,False,Overcast,19,4.0,4.0,2.3,88.69,96.9,7.4
False,False,Overcast,20,4.6,4.6,2.6,86.89,100.0,7.0
False,False,Overcast,21,4.8,4.8,2.8,86.91,100.0,7.7
False,False,Overcast,22,5.3,5.3,3.0,85.14,100.0,9.3
False,False,Overcast,23,5.6,5.6,2.8,82.22,100.0,9.9
False,False,Overcast,0,5.3,5.3,3.0,85.14,97.0,9.2
False,False,Partially cloudy,1,5.1,5.1,2.8,85.13,78.3,9.1
False,False,Partially cloudy,2,5.8,5.8,3.8,87.02,78.5,7.8
False,False,Partially cloudy,3,5.8,5.8,4.1,88.86,90.0,6.2
False,False,Partially cloudy,4,5.6,5.6,4.6,93.29,78.5,4.5
False,False,Partially cloudy,5,4.1,4.1,3.3,94.53,90.0,3.5
False,False,Overcast,6,4.3,4.3,4.0,97.91,93.0,4.4
False,False,Overcast,7,6.0,6.0,5.8,98.61,96.2,4.5
False,False,Partially cloudy,8,5.8,5.8,5.5,97.95,61.5,0.6
False,False,Partially cloudy,9,6.0,6.0,5.8,98.61,31.0,0.6
False,False,Partially cloudy,10,6.3,6.3,6.1,98.63,69.5,1.3
False,False,Overcast,11,6.6,6.6,6.2,96.63,96.2,5.1
False,False,Partially cloudy,12,7.3,7.3,6.2,92.11,71.4,9.1
False,False,Partially cloudy,13,7.6,7.6,5.9,88.99,67.6,13.0
False,False,Partially cloudy,14,8.3,8.3,6.3,87.21,28.5,18.6
False,False,Clear,15,9.1,9.1,5.8,79.83,7.0,20.8
